transaction_date,amount,description,transaction_type,category_id,transaction_code
2018-01-01,11.11,Amazon,debit,20,TARGET STORE 1456 #DFGWFD
2018-01-02,1247.44,Mortgage Payment,debit,15,ZILLOW RENT PORTAL #9M7JEX
2018-01-02,24.22,Thai Restaurant,debit,19,CHILI'S GRILL & BAR #YDE51Q
2018-01-03,2298.09,Credit Card Payment,credit,4,UNKNOWN MERCHANT #RZ3O90
2018-01-04,11.76,Netflix,debit,16,AMC THEATERS TICKET #FMDTV9
2018-01-05,25.85,American Tavern,debit,19,LOCAL DINER PURCHASE #2DX5YV
2018-01-06,18.45,Hardware Store,debit,12,LOWE'S STORE 8832 #9NAIS2
2018-01-08,45.0,Gas Company,debit,22,CITY ELECTRIC BILL #M3Q5DQ
2018-01-08,15.38,Hardware Store,debit,12,LOWE'S STORE 8832 #9MLQQY
2018-01-09,10.69,Spotify,debit,17,YOUTUBE MUSIC #SVOJRR
2018-01-10,89.46,Phone Company,debit,14,VERIZON WIRELESS BILL #MEI8XQ
2018-01-11,34.87,Shell,debit,9,SHELL OIL #087C70
2018-01-11,43.54,Grocery Store,debit,10,TARGET GROCERY #DL30PK
2018-01-12,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #TKAX3Z
2018-01-13,32.91,Pizza Place,debit,7,CHIPOTLE MEXICAN GRILL #4Y07UA
2018-01-13,39.05,Amazon,debit,20,AMAZON.COM PURCHASE #XP9A47
2018-01-15,44.19,Grocery Store,debit,10,JEWEL-OSCO #F2Z8MG
2018-01-15,64.11,American Tavern,debit,19,CHILI'S GRILL & BAR #1WM6KS
2018-01-16,35.0,City Water Charges,debit,22,CITY ELECTRIC BILL #XNX25T
2018-01-16,60.0,Power Company,debit,22,WATER DEPARTMENT PAYMENT #QLNX9M
2018-01-19,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #HEV1GA
2018-01-20,50.21,Amazon,debit,20,WALMART ONLINE ORDER #WDWOYS
2018-01-22,554.99,Credit Card Payment,credit,4,UNKNOWN MERCHANT #A11YH2
2018-01-22,309.81,Credit Card Payment,credit,4,UNKNOWN MERCHANT #7HPSK8
2018-01-22,554.99,Credit Card Payment,debit,4,UNKNOWN MERCHANT #L2V4ZB
2018-01-22,17.38,Hardware Store,debit,12,LOWE'S STORE 8832 #K7AM7W
2018-01-23,309.81,Credit Card Payment,debit,4,UNKNOWN MERCHANT #QUOLGK
2018-01-24,3.0,Starbucks,debit,3,SQ *STARBUCKS STORE 1123 #F1B3L2
2018-01-25,69.99,Internet Service Provider,debit,13,CHARTER SPECTRUM #5G44CI
2018-01-29,30.42,Shell,debit,9,SHELL OIL #K1CGPZ
2018-01-29,25.0,Thai Restaurant,debit,19,OLIVE GARDEN 4452 #WCPSIU
2018-01-29,17.62,Brunch Restaurant,debit,19,LOCAL DINER PURCHASE #IYXSLQ
2018-02-01,27.79,Grocery Store,debit,10,TARGET GROCERY #OCI4SP
2018-02-01,11.11,Amazon,debit,20,WALMART ONLINE ORDER #61ID04
2018-02-02,1247.44,Mortgage Payment,debit,15,APARTMENT RENT PAYMENT #3H302O
2018-02-02,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #QQ7DTS
2018-02-03,57.02,Japanese Restaurant,debit,19,OLIVE GARDEN 4452 #X827FI
2018-02-04,11.76,Netflix,debit,16,FANDANGO MOVIE PURCHASE #7VQ42U
2018-02-05,145.14,Credit Card Payment,credit,4,UNKNOWN MERCHANT #AN1M3O
2018-02-06,154.13,Credit Card Payment,credit,4,UNKNOWN MERCHANT #UYR4J1
2018-02-07,154.13,Credit Card Payment,debit,4,UNKNOWN MERCHANT #11XQNX
2018-02-07,65.0,Gas Company,debit,22,NATURAL GAS SERVICE #HH9QGF
2018-02-09,30.0,Barbershop,debit,11,GREAT CLIPS SALON #6KF4WD
2018-02-09,10.69,Spotify,debit,17,APPLE MUSIC SUBSCRIPTION #IKHJHK
2018-02-10,10.66,Bojangles,debit,7,CHIPOTLE MEXICAN GRILL #65AVW3
2018-02-11,106.8,Fancy Restaurant,debit,19,LOCAL DINER PURCHASE #DXTZ2J
2018-02-12,36.47,Shell,debit,9,SHELL OIL #I8OY2F
2018-02-12,89.52,Phone Company,debit,14,VERIZON WIRELESS BILL #BLI38V
2018-02-14,14.0,Brewing Company,debit,1,MIXOLOGY LOUNGE #CYS6CQ
2018-02-15,10.0,American Tavern,debit,19,LOCAL DINER PURCHASE #PGRFH4
2018-02-15,60.0,Power Company,debit,22,CITY ELECTRIC BILL #7GZN46
2018-02-16,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #1CQC9E
2018-02-16,8.0,Brunch Restaurant,debit,19,OLIVE GARDEN 4452 #A1U9F5
2018-02-16,35.0,City Water Charges,debit,22,CITY ELECTRIC BILL #7XPUJO
2018-02-20,35.95,Grocery Store,debit,10,JEWEL-OSCO #0U0JZV
2018-02-20,23.51,Mexican Restaurant,debit,19,CHILI'S GRILL & BAR #KX0RAP
2018-02-21,2.0,Starbucks,debit,3,DUNKIN #34567 #4B6TEU
2018-02-22,4.0,Starbucks,debit,3,DUNKIN #34567 #S7KIS7
2018-02-26,765.37,Credit Card Payment,credit,4,UNKNOWN MERCHANT #S26FM9
2018-02-26,156.11,Credit Card Payment,credit,4,UNKNOWN MERCHANT #ZQJSDI
2018-02-26,765.37,Credit Card Payment,debit,4,UNKNOWN MERCHANT #99UOVI
2018-02-26,74.99,Internet Service Provider,debit,13,AT&T INTERNET SERVICE #GHLDWR
2018-02-26,85.52,American Tavern,debit,19,OLIVE GARDEN 4452 #5APYUL
2018-02-26,32.21,Gas Station,debit,9,MOBIL FUEL STATION #4D29I2
2018-02-27,156.11,Credit Card Payment,debit,4,UNKNOWN MERCHANT #7YXLVE
2018-03-01,32.07,Grocery Store,debit,10,WALMART SUPERCENTER #JSRUUA
2018-03-01,13.13,Amazon,debit,20,AMAZON.COM PURCHASE #CCT2L2
2018-03-02,1247.44,Mortgage Payment,debit,15,ZILLOW RENT PORTAL #ZH327G
2018-03-02,2000.0,Biweekly Paycheck,credit,18,UNKNOWN MERCHANT #NNQYZD
2018-03-03,23.74,Grocery Store,debit,10,JEWEL-OSCO #YTGEWJ
2018-03-04,10.69,Grocery Store,debit,10,JEWEL-OSCO #PP1OCI
2018-03-04,11.76,Netflix,debit,16,FANDANGO MOVIE PURCHASE #BH4UO2
2018-03-04,42.24,BBQ Restaurant,debit,19,LOCAL DINER PURCHASE #CA187S
2018-03-05,3.0,Starbucks,debit,3,PEET'S COFFEE ROASTERS #4GR6HP
