Date,Description,Amount,Transaction Type,Category,Account Name,Transaction Class,is_weekend,Transaction Code
2018-01-01,Amazon,11.11,debit,Shopping,Platinum Card,Expense,False,WALMART ONLINE ORDER #PCM7DJ
2018-01-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,False,MORTGAGE LOAN PAYMENT #OY0Y38
2018-01-02,Thai Restaurant,24.22,debit,Restaurants,Silver Card,Expense,False,OLIVE GARDEN 4452 #O4KVA1
2018-01-03,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #61QMCJ
2018-01-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,False,AMC THEATERS TICKET #RY71ZO
2018-01-05,American Tavern,25.85,debit,Restaurants,Silver Card,Expense,False,OLIVE GARDEN 4452 #VUBYJL
2018-01-06,Hardware Store,18.45,debit,Home Improvement,Silver Card,Expense,True,MENARDS ROCKFORD #WVI26W
2018-01-08,Gas Company,45.0,debit,Utilities,Checking,Expense,False,CITY ELECTRIC BILL #FYGITN
2018-01-08,Hardware Store,15.38,debit,Home Improvement,Silver Card,Expense,False,LOWE'S STORE 8832 #K9ZFJI
2018-01-09,Spotify,10.69,debit,Music,Platinum Card,Expense,False,APPLE MUSIC SUBSCRIPTION #XDKKQC
2018-01-10,Phone Company,89.46,debit,Mobile Phone,Checking,Expense,False,AT&T MOBILE SERVICE #A100KF
2018-01-11,Shell,34.87,debit,Gas & Fuel,Platinum Card,Expense,False,SHELL OIL #MB0GH2
2018-01-11,Grocery Store,43.54,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #CR4ZTV
2018-01-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #5RTS7V
2018-01-13,Pizza Place,32.91,debit,Fast Food,Platinum Card,Expense,True,TACO BELL #2231 #C7WCOG
2018-01-13,Amazon,39.05,debit,Shopping,Platinum Card,Expense,True,WALMART ONLINE ORDER #98X4NC
2018-01-15,Grocery Store,44.19,debit,Groceries,Silver Card,Expense,False,JEWEL-OSCO #29AFFX
2018-01-15,American Tavern,64.11,debit,Restaurants,Silver Card,Expense,False,CHILI'S GRILL & BAR #TQO5R9
2018-01-16,City Water Charges,35.0,debit,Utilities,Checking,Expense,False,WATER DEPARTMENT PAYMENT #GPFIC7
2018-01-16,Power Company,60.0,debit,Utilities,Checking,Expense,False,NATURAL GAS SERVICE #KZ5OU0
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #NNSB8R
2018-01-20,Amazon,50.21,debit,Shopping,Platinum Card,Expense,True,AMAZON.COM PURCHASE #GMXH6H
2018-01-22,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card,Transfer,False,UNKNOWN MERCHANT #07TF2I
2018-01-22,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card,Transfer,False,UNKNOWN MERCHANT #1CEUB9
2018-01-22,Credit Card Payment,554.99,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #KUXHRN
2018-01-22,Hardware Store,17.38,debit,Home Improvement,Silver Card,Expense,False,MENARDS ROCKFORD #DAW09H
2018-01-23,Credit Card Payment,309.81,debit,Credit Card Payment,Checking,Transfer,False,UNKNOWN MERCHANT #YVQXH1
2018-01-24,Starbucks,3.0,debit,Coffee Shops,Platinum Card,Expense,False,SQ *STARBUCKS STORE 1123 #S0MZSX
2018-01-25,Internet Service Provider,69.99,debit,Internet,Checking,Expense,False,CHARTER SPECTRUM #DYK7KT
2018-01-29,Shell,30.42,debit,Gas & Fuel,Silver Card,Expense,False,CASEY'S GENERAL STORE 6672 #T7MEAJ
2018-01-29,Thai Restaurant,25.0,debit,Restaurants,Silver Card,Expense,False,LOCAL DINER PURCHASE #XN3HZH
2018-01-29,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,Expense,False,LOCAL DINER PURCHASE #Q3WAXB
2018-02-01,Grocery Store,27.79,debit,Groceries,Platinum Card,Expense,False,WALMART SUPERCENTER #HROH6T
2018-02-01,Amazon,11.11,debit,Shopping,Platinum Card,Expense,False,AMAZON.COM PURCHASE #XQQZKT
2018-02-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,Expense,False,MORTGAGE LOAN PAYMENT #CKCIPJ
2018-02-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,Income,False,UNKNOWN MERCHANT #LNLTJC
2018-02-03,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,Expense,True,OLIVE GARDEN 4452 #FDM9JO
2018-02-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,Expense,True,REGAL CINEMAS #4W9OR1
